name,book,year,frequency
n H,AMZ1848,1848,3
Dreyklang H,AMZ1848,1848,2
AB H,AMZ1848,1848,2
S H,AMZ1848,1848,2
M H,AMZ1848,1848,2
Haupttonart H,AMZ1848,1848,3
G H,AMZ1848,1848,2
ER H,AMZ1848,1848,5
Friedrich H,AMZ1848,1848,4
Johann Friedrich Christmann,AMZ1848,1848,2
Pfarrer Christmann,AMZ1848,1848,5
Friedrich Fleischmann,AMZ1848,1848,5
Geisterinsel von Fleischmann,AMZ1848,1848,2
Justus Heinrich Knecht,AMZ1848,1848,9
Heinrich Knecht,AMZ1848,1848,2
I H Knecht,AMZ1848,1848,3
August Eberhard Müller,AMZ1848,1848,86
A FE Müller,AMZ1848,1848,3
Eberhard Müller,AMZ1848,1848,24
Auguste Müller,AMZ1848,1848,24
Organist Müller,AMZ1848,1848,2
me Müller,AMZ1848,1848,7
Wenzel Müller,AMZ1848,1848,230
Herm Müller,AMZ1848,1848,3
Charles Guillaume Müller,AMZ1848,1848,91
n Müller,AMZ1848,1848,8
Direktors Müller,AMZ1848,1848,10
Musikdirektor Müller,AMZ1848,1848,2
 Müller,AMZ1848,1848,60
Franz Müller,AMZ1848,1848,58
C H Müller,AMZ1848,1848,2
H F Müller,AMZ1848,1848,21
J C Müller,AMZ1848,1848,2
F A Müller,AMZ1848,1848,2
Mlle Müller,AMZ1848,1848,2
Christian Müller,AMZ1848,1848,14
Concertmeister Carl Müller,AMZ1848,1848,5
Instrumentenmnacher Müller,AMZ1848,1848,3
Johannes Müller,AMZ1848,1848,18
Professosg Müller,AMZ1848,1848,12
Iwan Müller,AMZ1848,1848,58
Raths Müller,AMZ1848,1848,4
Rath Müller,AMZ1848,1848,3
C J Müller,AMZ1848,1848,2
Capellmeister Wenzel Müller,AMZ1848,1848,3
Kapellmeister A E Müller,AMZ1848,1848,2
Hofmusicus Müller,AMZ1848,1848,2
Johann Heinrich Müller,AMZ1848,1848,3
Cantor Müller,AMZ1848,1848,3
Carl Müller,AMZ1848,1848,16
C F Müller,AMZ1848,1848,66
J C J Müller,AMZ1848,1848,2
v Müller,AMZ1848,1848,2
Immanuel Müller,AMZ1848,1848,4
George Müller,AMZ1848,1848,37
Kapellmeister Müller,AMZ1848,1848,17
Elise Müller,AMZ1848,1848,8
A J Müller,AMZ1848,1848,3
Louise Müller,AMZ1848,1848,3
R R Müller,AMZ1848,1848,4
Wensel Müller,AMZ1848,1848,2
J J Müller,AMZ1848,1848,11
Kapellmeisters A E Müller,AMZ1848,1848,4
G A Müller,AMZ1848,1848,2
Therese Müller,AMZ1848,1848,14
Matthias Müller,AMZ1848,1848,3
W A Müller,AMZ1848,1848,14
Kammermusikus Müller,AMZ1848,1848,10
Dr Müller,AMZ1848,1848,4
Wilhelm Müller,AMZ1848,1848,9
Jwan Müller,AMZ1848,1848,3
Concertmeister Müller,AMZ1848,1848,5
Kapellmeister Wenzel Müller,AMZ1848,1848,10
Adolph Müller,AMZ1848,1848,74
Hofräthin Müller,AMZ1848,1848,2
Dr W C Müller,AMZ1848,1848,4
Sophie Müller,AMZ1848,1848,3
Wilhelm Christian Müller,AMZ1848,1848,2
Ivan Müller,AMZ1848,1848,5
n C F Müller,AMZ1848,1848,2
Karl Müller,AMZ1848,1848,5
Adolf Müller,AMZ1848,1848,4
J G Müller,AMZ1848,1848,3
Donat Müller,AMZ1848,1848,2
Kapellmeister Adolph Müller,AMZ1848,1848,4
Georg Müller,AMZ1848,1848,6
Robert Müller,AMZ1848,1848,3
Marie Müller,AMZ1848,1848,3
unserm C G Müller,AMZ1848,1848,2
Friedrich Müller,AMZ1848,1848,5
n Kapellmeister Friedrich Müller,AMZ1848,1848,2
kM Müller,AMZ1848,1848,2
Johann Immanuel Müller,AMZ1848,1848,2
V Müller,AMZ1848,1848,4
Wolfgang Müller,AMZ1848,1848,3
n W Müller,AMZ1848,1848,2
Theodor Müller,AMZ1848,1848,4
Rob Müller,AMZ1848,1848,2
Selmar Müller,AMZ1848,1848,2
 Rochlitz,AMZ1848,1848,24
Friedrich Rochlitz,AMZ1848,1848,126
Hofrath Rochlitz,AMZ1848,1848,13
I Rochlitz,AMZ1848,1848,4
Hofrath Spazier,AMZ1848,1848,5
Carl Spazier,AMZ1848,1848,4
Karl Spazier,AMZ1848,1848,5
D K Spazier,AMZ1848,1848,2
Dr Spazier,AMZ1848,1848,2
J Frey,AMZ1848,1848,3
Baron von Lichtenstein,AMZ1848,1848,6
von Lichtenstein,AMZ1848,1848,8
Barons v Lichtenstein,AMZ1848,1848,2
Freyherrn von Lichtenstein,AMZ1848,1848,8
Freiherrn von Lichtenstein,AMZ1848,1848,11
Wolfgang Amadeus Mozarts,AMZ1848,1848,14
Schauspielhause Mozarts,AMZ1848,1848,2
Wächter Mozarts,AMZ1848,1848,2
